Name,Classification,Lat,Lng,Services Offered,Service Hours,Ratings,Menu,Price Range
What About Coffee? (WACO),Cafe,14.66114174,121.0729492,"Food, Outlets, Wi-Fi",Mon to Sun - 6:00 AM to 9:00 PM,4.7,"Coffee, Juices, Smoothies, Pastries, Rice Meals, Pasta, Sandwiches","1, 500"
Lunar Coffee,Cafe,14.6595891,121.0697677,"Food, Reading Area, Outlets",Mon to Sun - 9:00 AM to 9:00 PM,4.8,"Coffee, Smoothies, Pastries","1, 300"
Dunkin',Cafe,14.6597036,121.0695197,"Food, Reading Area",Mon to Sun - 8:00 AM to 9:00 PM,3.9,"Coffee, Juices, Sandwiches, Smoothies","1, 300"
Beranda Café,Cafe,14.6602976,121.0698042,"Food, Reading Area",Mon to Sun - 7:00 AM to 7:00 PM,5,"Coffee, Pastries, Rice Meals","1, 500"
UCC Park Cafe,Cafe,14.6595787,121.068993,"Food, Reading Area, Outlets",Mon to Sun - 7:00 AM to 10:00 PM,3.1,"Coffee, Juices, Smoothies, Pastries, Rice Meals, Pasta, Sandwiches","300, 700"
ZUS Coffee,Cafe,14.6595787,121.068993,"Food, Reading Area",Mon to Sun - 7:00 AM to 9:00 PM,4.1,"Coffee, Juices, Smoothies, Pastries, Sandwiches","1, 300"
DOZ Coffee Bar,Cafe,14.6596455,121.0674503,"Food, Reading Area",Mon to Sun - 7:00 AM to 9:00 PM,4.6,"Coffee, Juices","1, 100"
7 - R UP Diliman,Cafe,14.6595978,121.0675335,"Food, Reading Area, Outlets",Mon to Sun - 8:00 AM to 8:00 PM,5,"Coffee, Smoothies, Rice Meals","1, 200"
Nomu Cafe,Cafe,14.6581558,121.0670554,"Food, Reading Area, Outlets",Mon to Sun - 7:00 AM to 9:00 PM,4.8,"Coffee, Smoothies, Pastries, Pasta","100, 300"
ILO Cafe,Cafe,14.65661136,121.0687976,"Food, Reading Area, Outlets, Wi-Fi",Mon to Sun - 7:00 AM to 7:00 PM,5,"Coffee, Juices, Pastries, Rice Meals, Pasta, Sandwiches","100, 200"
IsKape,Cafe,14.6505512,121.0628886,"Food, Reading Area",Mon to Sat - 3:00 PM to 7:00 PM,4.7,"Coffee, Juices, Pastries, Pasta, Sandwiches","100, 200"
BES Coffee,Cafe,14.6478866,121.0692508,"Food, Reading Area, Outlets",Mon to Sun - 8:00 AM to 6:00 PM,5,"Coffee, Juices, Pastries, Rice Meals",200
The Library Cafe,Cafe,14.6482113,121.0683838,"Food, Reading Area, Wi-Fi",Mon to Fri - 8:00 AM to 5:00 PM,,"Coffee, Smoothies, Pastries, Pasta, Sandwiches","100, 200"
SOLHEIM LIBRARY (UP School of Archaeology),Library,14.65272803,121.0636955,"Reading Area, Computers, Outlets, Wi-Fi, Photocopy",Tue to Fri – 8:00 AM to 6:00 PM; Mon – WFH,,,
COLLEGE OF ARCHITECTURE LIBRARY,Library,14.65157111,121.0650212,"Reading Area, Computers, Outlets, Wi-Fi",Mon to Sat – 8:00 AM to 5:00 PM,,,
COLLEGE OF ARTS AND LETTERS LIBRARY (CAL Library),Library,14.65263208,121.0674219,"Reading Area, Computers, Outlets, Wi-Fi, Photocopy",Mon to Fri – 8:00 AM to 5:00 PM,,,
ASIAN CENTER LIBRARY,Library,14.6572637,121.0737143,"Reading Area, Computers, Outlets, Wi-Fi",Tue to Sat – 9:00 AM to 6:00 PM; Mon – WFH,,,
ASIAN INSTITUTE OF TOURISM LIBRARY,Library,14.66073927,121.0615582,"Reading Area, Outlets, Wi-Fi, Photocopy",Mon to Sat – 8:00 AM to 5:00 PM,,,
CESAR E.A. VIRATA SCHOOL OF BUSINESS LIBRARY (VSB Library),Library,14.65531424,121.073547,"Reading Area, Computers, Outlets, Wi-Fi",Mon – 8:00 AM to 5:00 PM; Tue to Fri – 8:00 AM to 7:00 PM,,,
