Cafe,Classification,Lat,Lon,Amenities,Service Hours,Menu,Price Range,Ratings
What About Coffee? (WACO),Cafe,14.66114174,121.0729492,"Food, Outlets, Wi-Fi",Mon to Sun - 6:00 AM to 9:00 PM,"Coffee, Juices, Smoothies, Pastries, Rice Meals, Pasta, Sandwiches","1, 500",4.7
Lunar Coffee,Cafe,14.6595891,121.0697677,"Food, Reading Area, Outlets",Mon to Sun - 9:00 AM to 9:00 PM,"Coffee, Smoothies, Pastries","1, 300",4.8
Dunkin',Cafe,14.6597036,121.0695197,"Food, Reading Area",Mon to Sun - 8:00 AM to 9:00 PM,"Coffee, Juices, Sandwiches, Smoothies","1, 300",3.9
Beranda Café,Cafe,14.6602976,121.0698042,"Food, Reading Area",Mon to Sun - 7:00 AM to 7:00 PM,"Coffee, Pastries, Rice Meals","1, 500",5
UCC Park Cafe,Cafe,14.6595787,121.068993,"Food, Reading Area, Outlets",Mon to Sun - 7:00 AM to 10:00 PM,"Coffee, Juices, Smoothies, Pastries, Rice Meals, Pasta, Sandwiches","300, 700",3.1
ZUS Coffee,Cafe,14.6595787,121.068993,"Food, Reading Area",Mon to Sun - 7:00 AM to 9:00 PM,"Coffee, Juices, Smoothies, Pastries, Sandwiches","1, 300",4.1
DOZ Coffee Bar,Cafe,14.6596455,121.0674503,"Food, Reading Area",Mon to Sun - 7:00 AM to 9:00 PM,"Coffee, Juices","1, 100",4.6
7 - R UP Diliman,Cafe,14.6595978,121.0675335,"Food, Reading Area, Outlets",Mon to Sun - 8:00 AM to 8:00 PM,"Coffee, Smoothies, Rice Meals","1, 200",5
Nomu Cafe,Cafe,14.6581558,121.0670554,"Food, Reading Area, Outlets",Mon to Sun - 7:00 AM to 9:00 PM,"Coffee, Smoothies, Pastries, Pasta","100, 300",4.8
ILO Cafe,Cafe,14.65661136,121.0687976,"Food, Reading Area, Outlets, Wi-Fi",Mon to Sun - 7:00 AM to 7:00 PM,"Coffee, Juices, Pastries, Rice Meals, Pasta, Sandwiches","100, 200",5
IsKape,Cafe,14.6505512,121.0628886,"Food, Reading Area",Mon to Sat - 3:00 PM to 7:00 PM,"Coffee, Juices, Pastries, Pasta, Sandwiches","100, 200",4.7
BES Coffee,Cafe,14.6478866,121.0692508,"Food, Reading Area, Outlets",Mon to Sun - 8:00 AM to 6:00 PM,"Coffee, Juices, Pastries, Rice Meals",200,5
The Library Cafe,Cafe,14.6482113,121.0683838,"Food, Reading Area, Wi-Fi",Mon to Fri - 8:00 AM to 5:00 PM,"Coffee, Smoothies, Pastries, Pasta, Sandwiches","100, 200",N/A
